Level 1,Level 2,Level 3
Business and Industry,Advertising ,
Business and Industry,Agriculture,
Business and Industry,Architecture ,
Business and Industry,Aviation ,
Business and Industry,Banking ,Investment banking
Business and Industry,Banking ,Online banking
Business and Industry,Banking ,Retail banking 
Business and Industry,Business,
Business and Industry,Construction,
Business and Industry,Design,Fashion design
Business and Industry,Design,Graphic design
Business and Industry,Design,Interior design
Business and Industry,Economics,
Business and Industry,Engineering,
Business and Industry,Entrepreneurship,
Business and Industry,Healthcare ,
Business and Industry,Higher education  ,
Business and Industry,Management,
Business and Industry,Marketing ,
Business and Industry,Nursing ,
Business and Industry,Online ,Digital marketing
Business and Industry,Online ,Display advertising
Business and Industry,Online ,Email marketing
Business and Industry,Online ,Online advertising
Business and Industry,Online ,Search engine optimization 
Business and Industry,Online ,Social media 
Business and Industry,Online ,Social media marketing 
Business and Industry,Online ,Web design
Business and Industry,Online ,Web development 
Business and Industry,Online ,Web hosting 
Business and Industry,Personal finance,Credit cards
Business and Industry,Personal finance,Insurance 
Business and Industry,Personal finance,Investment
Business and Industry,Personal finance,Mortgage loans
Business and Industry,Real estate ,
Business and Industry,Retail,
Business and Industry,Sales,
Business and Industry,Science,
Business and Industry,Small business ,
Entertainment,Games,Action games
Entertainment,Games,Board games
Entertainment,Games,Browser games
Entertainment,Games,Card games
Entertainment,Games,Casino games
Entertainment,Games,First-person shooter games 
Entertainment,Games,Gambling 
Entertainment,Games,Massively multiplayer online games
Entertainment,Games,Massively multiplayer online role-playing games 
Entertainment,Games,Online games
Entertainment,Games,Online poker
Entertainment,Games,Puzzle video games
Entertainment,Games,Racing games
Entertainment,Games,Role-playing games
Entertainment,Games,Shooter games
Entertainment,Games,Simulation games
Entertainment,Games,Sports games
Entertainment,Games,Strategy games
Entertainment,Games,Video games
Entertainment,Games,Word games 
Entertainment,Live events,Ballet 
Entertainment,Live events,Bars 
Entertainment,Live events,Concerts 
Entertainment,Live events,Dancehalls 
Entertainment,Live events,Music festivals 
Entertainment,Live events,Nightclubs 
Entertainment,Live events,Parties 
Entertainment,Live events,Plays 
Entertainment,Live events,Theatre 
Entertainment,Movies,Action movies   
Entertainment,Movies,Animated movies 
Entertainment,Movies,Anime movies
Entertainment,Movies,Bollywood movies 
Entertainment,Movies,Comedy movies 
Entertainment,Movies,Documentary movies 
Entertainment,Movies,Drama movies 
Entertainment,Movies,Fantasy movies
Entertainment,Movies,Horror movies
Entertainment,Movies,Musical theatre 
Entertainment,Movies,Science fiction movies 
Entertainment,Movies,Thriller movies 
Entertainment,Music,Blues music 
Entertainment,Music,Classical music
Entertainment,Music,Country music 
Entertainment,Music,Dance music 
Entertainment,Music,Electronic music 
Entertainment,Music,Gospel music 
Entertainment,Music,Heavy metal music 
Entertainment,Music,Hip hop music 
Entertainment,Music,Jazz music 
Entertainment,Music,Music videos
Entertainment,Music,Pop music
Entertainment,Music,Rhythm and blues music 
Entertainment,Music,Rock music
Entertainment,Music,Soul music 
Entertainment,Reading,Books 
Entertainment,Reading,Comics E-books
Entertainment,Reading,Fiction books  
Entertainment,Reading,Literature 
Entertainment,Reading,Magazines
Entertainment,Reading,Manga 
Entertainment,Reading,Mystery Fiction 
Entertainment,Reading,Newspapers 
Entertainment,Reading,"Non-fiction books
"
Entertainment,Reading,Romance novels
Entertainment,TV,TV comedies
Entertainment,TV,TV game shows
Entertainment,TV,TV reality shows
Entertainment,TV,TV talk shows
Family and relationships,Dating ,
Family and relationships,Family ,
Family and relationships,Fatherhood ,
Family and relationships,Friendship ,
Family and relationships,Marriage ,
Family and relationships,Motherhood ,
Family and relationships,Parenting ,
Family and relationships,Weddings ,
Fitness and wellness,Bodybuilding,
Fitness and wellness,Dieting,
Fitness and wellness,Gyms,
Fitness and wellness,Meditation ,
Fitness and wellness,Nutrition,
Fitness and wellness,Physical exercise,
Fitness and wellness,Physical fitness,
Fitness and wellness,Running,
Fitness and wellness,Weight training,
Fitness and wellness,Yoga,
Fitness and wellness,Zumba,
Food and drink,Alcoholic beverages,Beer
Food and drink,Alcoholic beverages,Distilled beverage 
Food and drink,Alcoholic beverages,Wine
Food and drink,Beverages,Coffee
Food and drink,Beverages,Energy drinks
Food and drink,Beverages,Juice
Food and drink,Beverages,Soft Drinks
Food and drink,Beverages,Tea
Food and drink,Cooking,Baking 
Food and drink,Cooking,Recipes 
Food and drink,Cuisine,Chinese cuisine 
Food and drink,Cuisine,French cuisine 
Food and drink,Cuisine,German cuisine
Food and drink,Cuisine,Greek cuisine
Food and drink,Cuisine,Indian cuisine
Food and drink,Cuisine,Italian cuisine
Food and drink,Cuisine,Japanese cuisine
Food and drink,Cuisine,Korean cuisine
Food and drink,Cuisine,Latin American cuisine
Food and drink,Cuisine,Mexican cuisine
Food and drink,Cuisine,Middle Eastern cuisine
Food and drink,Cuisine,Spanish cuisine
Food and drink,Cuisine,Thai cuisine
Food and drink,Cuisine,Vietnamese cuisine
Food and drink,Food,Barbecue
Food and drink,Food,Chocolate
Food and drink,Food,Desserts
Food and drink,Food,Fast food
Food and drink,Food,Organic food
Food and drink,Food,Pizza
Food and drink,Food,Seafood
Food and drink,Food,Veganism
Food and drink,Food,Vegetarianism
Food and drink,Restaurants,Coffeehouses
Food and drink,Restaurants,Diners
Food and drink,Restaurants,Fast casual restaurants
Food and drink,Restaurants,Fast food restaurants
Hobbies and activities,Arts and music,Acting
Hobbies and activities,Arts and music,Crafts
Hobbies and activities,Arts and music,Dance
Hobbies and activities,Arts and music,Drawing
Hobbies and activities,Arts and music,Drums
Hobbies and activities,Arts and music,Fine art
Hobbies and activities,Arts and music,Guitar
Hobbies and activities,Arts and music,Painting
Hobbies and activities,Arts and music,Performing arts
Hobbies and activities,Arts and music,Photography
Hobbies and activities,Arts and music,Sculpture
Hobbies and activities,Arts and music,Singing
Hobbies and activities,Arts and music,Writing
Hobbies and activities,Current events,
Hobbies and activities,Home and garden,Do it yourself (DIY)
Hobbies and activities,Home and garden,Furniture
Hobbies and activities,Home and garden,Gardening
Hobbies and activities,Home and garden,Home Appliances
Hobbies and activities,Home and garden,Home Improvement
Hobbies and activities,Pets,Birds
Hobbies and activities,Pets,Cats
Hobbies and activities,Pets,Dogs
Hobbies and activities,Pets,Fish
Hobbies and activities,Pets,Horses
Hobbies and activities,Pets,Pet food
Hobbies and activities,Pets,Rabbits
Hobbies and activities,Pets,Reptiles
Hobbies and activities,Politics and social issues,Charity and causes
Hobbies and activities,Politics and social issues,Community issues
Hobbies and activities,Politics and social issues,Environmentalism
Hobbies and activities,Politics and social issues,Law
Hobbies and activities,Politics and social issues,Military
Hobbies and activities,Politics and social issues,Politics
Hobbies and activities,Politics and social issues,Religion
Hobbies and activities,Politics and social issues,Sustainability
Hobbies and activities,Politics and social issues,Veterans
Hobbies and activities,Politics and social issues,Volunteering
Hobbies and activities,Travel,Adventure travel
Hobbies and activities,Travel,Air travel
Hobbies and activities,Travel,Beaches
Hobbies and activities,Travel,Car rentals
Hobbies and activities,Travel,Cruises
Hobbies and activities,Travel,Ecotourism
Hobbies and activities,Travel,Hotels
Hobbies and activities,Travel,Lakes
Hobbies and activities,Travel,Mountains
Hobbies and activities,Travel,Nature
Hobbies and activities,Travel,Theme parks
Hobbies and activities,Travel,Tourism
Hobbies and activities,Travel,Vacation
Hobbies and activities,Vehicles,Automobiles
Hobbies and activities,Vehicles,Boats
Hobbies and activities,Vehicles,Electric vehicle
Hobbies and activities,Vehicles,Hybrids
Hobbies and activities,Vehicles,Minivans
Hobbies and activities,Vehicles,Motocycles
Hobbies and activities,Vehicles,RVs
Hobbies and activities,Vehicles,SUVs
Hobbies and activities,Vehicles,Scooters
Hobbies and activities,Vehicles,Trucks
Shopping and fashion,Beauty,Beauty salons
Shopping and fashion,Beauty,Cosmetics
Shopping and fashion,Beauty,Fragrances
Shopping and fashion,Beauty,Hair products
Shopping and fashion,Beauty,Spas
Shopping and fashion,Beauty,Tattoos
Shopping and fashion,Clothing,Childrenˇs clothing
Shopping and fashion,Clothing,Menˇs clothing
Shopping and fashion,Clothing,Shoes
Shopping and fashion,Clothing,Womenˇs clothing
Shopping and fashion,Fashion accessories,Dresses
Shopping and fashion,Fashion accessories,Handbags
Shopping and fashion,Fashion accessories,Jewelry
Shopping and fashion,Fashion accessories,Sunglasses
Shopping and fashion,Shopping,Boutiques
Shopping and fashion,Shopping,Coupons
Shopping and fashion,Shopping,Discount stores
Shopping and fashion,Shopping,Luxury goods
Shopping and fashion,Shopping,Online shopping
Shopping and fashion,Shopping,Shopping malls
Shopping and fashion,Toys,
Sports and outdoors,Outdoor recreation,Boating
Sports and outdoors,Outdoor recreation,Camping
Sports and outdoors,Outdoor recreation,Fishing
Sports and outdoors,Outdoor recreation,Hiking
Sports and outdoors,Outdoor recreation,Horseback riding
Sports and outdoors,Outdoor recreation,Hunting
Sports and outdoors,Outdoor recreation,Mountain biking
Sports and outdoors,Outdoor recreation,Surfing
Sports and outdoors,Sports,American football
Sports and outdoors,Sports,Association football (Soccer)
Sports and outdoors,Sports,Auto racing
Sports and outdoors,Sports,Baseball
Sports and outdoors,Sports,Basketball
Sports and outdoors,Sports,College football
Sports and outdoors,Sports,Golf
Sports and outdoors,Sports,Marathons
Sports and outdoors,Sports,Skiing
Sports and outdoors,Sports,Snowboarding
Sports and outdoors,Sports,Swimming
Sports and outdoors,Sports,Tennis
Sports and outdoors,Sports,Triathlons
Sports and outdoors,Sports,Volleyball
Technology,Computers,Computer memory
Technology,Computers,Computer monitors
Technology,Computers,Computer processors
Technology,Computers,Computer servers
Technology,Computers,Desktop computers
Technology,Computers,Free software
Technology,Computers,Hard drives
Technology,Computers,Network storage
Technology,Computers,Software
Technology,Computers,Tablet computers
Technology,Consumer electronics,Audio equipment
Technology,Consumer electronics,Camcorders
Technology,Consumer electronics,Cameras
Technology,Consumer electronics,E-book readers
Technology,Consumer electronics,GPS devices
Technology,Consumer electronics,Game consoles
Technology,Consumer electronics,Mobile phones
Technology,Consumer electronics,Portable media players
Technology,Consumer electronics,Projectors
Technology,Consumer electronics,Smartphones
Technology,Consumer electronics,Televisions
