name,id,bid_amount,bid_strategy,daily_budget,budget_remaining,optimization_goal
BT_30-50y_商務旅遊,23842952219900246,12,LOWEST_COST_WITH_BID_CAP,500,288,LINK_CLICKS
BT_30-50y_商務旅遊,23842949556910246,23,LOWEST_COST_WITH_BID_CAP,1000,1000,PAGE_LIKES
BT_30-50y_投資理財_台中以北,23842940734900246,23,LOWEST_COST_WITH_BID_CAP,1000,1000,PAGE_LIKES
BT_30-50y_精品_台北,23842933874070246,7,LOWEST_COST_WITH_BID_CAP,200,93,LINK_CLICKS
BT_30-50y_精品_桃園,23842899165050246,12,LOWEST_COST_WITH_BID_CAP,100,40,LINK_CLICKS
BT_30-50y_新聞_台北,23842899165040246,7,LOWEST_COST_WITH_BID_CAP,100,100,LINK_CLICKS
BT_30-50y_新聞_桃園,23842899165030246,7,LOWEST_COST_WITH_BID_CAP,100,100,LINK_CLICKS
BT_30-50y_房地產+理財_桃園-bid10,23842899165020246,7,LOWEST_COST_WITH_BID_CAP,100,100,LINK_CLICKS
BT_30-50y_已婚_台北,23842899165010246,7,LOWEST_COST_WITH_BID_CAP,100,100,LINK_CLICKS
BT_30-50y_已婚_桃園,23842899165000246,7,LOWEST_COST_WITH_BID_CAP,100,100,LINK_CLICKS
BT_30-50y_房地產+理財_台北,23842899164960246,12,LOWEST_COST_WITH_BID_CAP,500,293,LINK_CLICKS
BT_30-50y_投資理財,23842899164950246,7,LOWEST_COST_WITH_BID_CAP,500,500,LINK_CLICKS
BT_30-50y_房地產+理財_桃園,23842899164890246,12,LOWEST_COST_WITH_BID_CAP,500,300,LINK_CLICKS
BT_30-50y_房地產+理財_台北-bid9,23842899164770246,7,LOWEST_COST_WITH_BID_CAP,100,100,LINK_CLICKS
BT_30-50y_新聞_台北,23842899154430246,20,LOWEST_COST_WITH_BID_CAP,150,150,PAGE_LIKES
BT_30-50y_房地產+理財_台北,23842899154410246,20,LOWEST_COST_WITH_BID_CAP,150,150,PAGE_LIKES
RT_全站排除已留表單,23842899154390246,20,LOWEST_COST_WITH_BID_CAP,150,150,PAGE_LIKES
BT_30-50y_房地產+理財_桃園,23842899154380246,20,LOWEST_COST_WITH_BID_CAP,150,150,PAGE_LIKES
BT_30-50y_房地產＿台中以北,23842899154360246,25,LOWEST_COST_WITH_BID_CAP,300,300,PAGE_LIKES
BT_30-50y_新聞_台中以北,23842899154350246,25,LOWEST_COST_WITH_BID_CAP,500,500,PAGE_LIKES
BT_30-50y_新聞_台中以北(除台北) -女性,23842899154340246,20,LOWEST_COST_WITH_BID_CAP,150,150,PAGE_LIKES
上稿用（導粉）,23842899113360246,None,LOWEST_COST_WITHOUT_CAP,500,500,PAGE_LIKES
BT_30-50y_投資理財,23842868916890246,7,LOWEST_COST_WITH_BID_CAP,200,200,LINK_CLICKS
BT_30-45y_新聞_桃園,23842866254360246,9,LOWEST_COST_WITH_BID_CAP,100,100,LINK_CLICKS
BT_30-45y_房地產+理財_桃園,23842866254350246,9,LOWEST_COST_WITH_BID_CAP,300,127,LINK_CLICKS
PT_30-45y_桃園,23842866254340246,9,LOWEST_COST_WITH_BID_CAP,300,140,LINK_CLICKS
BT_30-45y_已婚_桃園,23842866254310246,9,LOWEST_COST_WITH_BID_CAP,100,100,LINK_CLICKS
BT_30-45y_精品_桃園,23842866254290246,9,LOWEST_COST_WITH_BID_CAP,300,129,LINK_CLICKS
BT_30-50y_新聞_台中以北(除台北) -女性,23842862738810246,30,LOWEST_COST_WITH_BID_CAP,150,150,PAGE_LIKES
BT_30-50y_房地產+理財_台北-bid9,23842851233330246,8,LOWEST_COST_WITH_BID_CAP,200,199,LINK_CLICKS
BT_30-50y_房地產+理財_桃園,23842851233300246,8,LOWEST_COST_WITH_BID_CAP,100,19,LINK_CLICKS
BT_30-50y_房地產+理財_台北,23842851233290246,8,LOWEST_COST_WITH_BID_CAP,100,29,LINK_CLICKS
