actor_name,event_time,new_bid,new_budget,new_value,object_id,old_bid,old_budget,old_value
Eric Huang,2018-11-27 02:20:07,9,,,23843180433000316,11,,
Eric Huang,2018-11-27 02:20:06,9,,,23843180433040316,11,,
Eric Huang,2018-11-27 02:20:06,9,,,23843180433010316,11,,
Eric Huang,2018-11-26 16:10:09,11,,,23843180433000316,9,,
Facebook,2018-11-26 16:00:57,,,Active,23843176728600316,,,Inactive
Facebook,2018-11-26 08:07:30,,,Inactive,23843176728600316,,,Active
Eric Huang,2018-11-26 04:40:10,9,,,23843180433000316,10,,
Eric Huang,2018-11-25 17:00:08,10,,,23843180433000316,11,,
Eric Huang,2018-11-25 16:10:06,11,,,23843180433010316,10,,
Facebook,2018-11-25 16:00:23,,,Active,23843176728600316,,,Inactive
Facebook,2018-11-25 08:01:36,,,Inactive,23843176728600316,,,Active
Eric Huang,2018-11-25 05:20:09,10,,,23843180433010316,11,,
Facebook,2018-11-24 16:11:02,,,Active,23843176728600316,,,Inactive
Facebook,2018-11-24 07:02:20,,,Inactive,23843176728600316,,,Active
Facebook,2018-11-23 16:14:36,,,Active,23843176728600316,,,Inactive
Facebook,2018-11-23 11:34:44,,,Inactive,23843176728600316,,,Active
Eric Huang,2018-11-23 05:10:06,11,,,23843180433040316,10,,
Eric Huang,2018-11-23 05:10:06,11,,,23843180433000316,10,,
Eric Huang,2018-11-23 05:10:05,11,,,23843180433010316,10,,
Eric Huang,2018-11-23 03:00:09,,378,,23843180433000316,,10000,
Eric Huang,2018-11-23 03:00:09,,212,,23843180433040316,,6936,
Eric Huang,2018-11-23 03:00:09,10,,,23843180433000316,9,,
Eric Huang,2018-11-23 03:00:09,10,,,23843180433040316,9,,
Facebook,2018-11-22 16:00:27,,,Active,23843176728600316,,,Inactive
Eric Huang,2018-11-22 11:10:06,,6936,,23843180433040316,,6203,
Eric Huang,2018-11-22 11:00:05,,6203,,23843180433040316,,5399,
Eric Huang,2018-11-22 10:50:08,,5399,,23843180433040316,,4595,
Eric Huang,2018-11-22 10:40:05,,4595,,23843180433040316,,3791,
Eric Huang,2018-11-22 10:30:08,,3791,,23843180433040316,,2987,
Eric Huang,2018-11-22 10:20:06,,2987,,23843180433040316,,2183,
Facebook,2018-11-22 09:15:10,,,Inactive,23843176728600316,,,Active
Eric Huang,2018-11-22 09:10:08,,2183,,23843180433040316,,3138,
Eric Huang,2018-11-22 08:40:10,,3138,,23843180433040316,,2123,
Eric Huang,2018-11-22 08:40:10,9,,,23843180433040316,6,,
Eric Huang,2018-11-22 08:40:10,9,,,23843180433000316,6,,
Eric Huang,2018-11-22 08:40:10,10,,,23843180433010316,6,,
Eric Huang,2018-11-22 08:10:07,,2123,,23843180433040316,,1213,
Eric Huang,2018-11-22 07:10:07,,1213,,23843180433040316,,1131,
Eric Huang,2018-11-22 06:30:06,,10000,,23843180433000316,,9616,
Eric Huang,2018-11-22 06:20:09,,9616,,23843180433000316,,9195,
Eric Huang,2018-11-22 06:10:06,,1131,,23843180433040316,,922,
Eric Huang,2018-11-22 06:00:10,,9195,,23843180433000316,,8946,
Eric Huang,2018-11-22 05:50:06,,8946,,23843180433000316,,8697,
Eric Huang,2018-11-22 05:30:09,,8697,,23843180433000316,,8448,
Eric Huang,2018-11-22 05:20:08,,8448,,23843180433000316,,8199,
Eric Huang,2018-11-22 05:10:07,,922,,23843180433040316,,1159,
Eric Huang,2018-11-22 05:00:07,,8199,,23843180433000316,,7680,
Eric Huang,2018-11-22 04:50:05,,7680,,23843180433000316,,7161,
Eric Huang,2018-11-22 04:30:06,,7161,,23843180433000316,,6642,
Eric Huang,2018-11-22 04:20:05,,6642,,23843180433000316,,6123,
Eric Huang,2018-11-22 04:10:05,,1159,,23843180433040316,,827,
Eric Huang,2018-11-22 04:00:06,,6123,,23843180433000316,,5827,
Eric Huang,2018-11-22 03:50:08,,5827,,23843180433000316,,5531,
Eric Huang,2018-11-22 03:30:06,,5531,,23843180433000316,,5235,
Eric Huang,2018-11-22 03:20:10,,5235,,23843180433000316,,4939,
Eric Huang,2018-11-22 03:10:06,,827,,23843180433040316,,1168,
Eric Huang,2018-11-22 03:00:06,,4939,,23843180433000316,,4457,
Eric Huang,2018-11-22 02:50:07,,4457,,23843180433000316,,3975,
Eric Huang,2018-11-22 02:30:07,,3975,,23843180433000316,,3493,
Eric Huang,2018-11-22 02:20:06,,3493,,23843180433000316,,3011,
Eric Huang,2018-11-22 02:10:06,,189,,23843180433010316,,162,
Eric Huang,2018-11-22 02:10:06,,1168,,23843180433040316,,829,
Eric Huang,2018-11-22 02:10:06,6,,,23843180433010316,8,,
Eric Huang,2018-11-22 02:00:06,,3011,,23843180433000316,,2792,
Eric Huang,2018-11-22 01:50:04,,2792,,23843180433000316,,2573,
Eric Huang,2018-11-22 01:30:05,,2573,,23843180433000316,,2354,
Eric Huang,2018-11-22 01:20:06,,2354,,23843180433000316,,2135,
Eric Huang,2018-11-22 01:10:06,,829,,23843180433040316,,888,
Eric Huang,2018-11-22 01:10:06,,2135,,23843180433000316,,1916,
Eric Huang,2018-11-22 01:00:09,,1916,,23843180433000316,,1621,
