actor_name,event_time,new_bid,new_budget,new_value,object_id,old_bid,old_budget,old_value
Eric Huang,2018-11-27 02:20:09,10,,,23843052139550246,12,,
Eric Huang,2018-11-27 02:20:08,10,,,23843052139560246,13,,
Eric Huang,2018-11-27 00:31:04,,,Inactive,23843052139470246,,,Active
Eric Huang,2018-11-26 23:40:10,12,,,23843052139550246,13,,
Eric Huang,2018-11-26 16:10:08,13,,,23843052139550246,12,,
Eric Huang,2018-11-26 16:10:07,13,,,23843052139560246,12,,
Facebook,2018-11-26 16:10:10,,,Active,23842866254190246,,,Inactive
Eric Huang,2018-11-26 16:05:05,,,Active,23843052139470246,,,Inactive
Facebook,2018-11-26 12:30:13,,,Inactive,23842866254190246,,,Active
Eric Huang,2018-11-25 20:35:03,,,Inactive,23843052139470246,,,Active
Eric Huang,2018-11-25 18:40:09,12,,,23843052139550246,13,,
Eric Huang,2018-11-25 17:50:08,12,,,23843052139560246,13,,
Eric Huang,2018-11-25 16:10:06,13,,,23843052139550246,12,,
Eric Huang,2018-11-25 16:05:04,,,Active,23843052139470246,,,Inactive
Facebook,2018-11-25 16:00:14,,,Active,23842866254190246,,,Inactive
Facebook,2018-11-25 12:30:21,,,Inactive,23842866254190246,,,Active
Eric Huang,2018-11-25 00:40:09,12,,,23843052139550246,13,,
Eric Huang,2018-11-25 00:29:04,,,Inactive,23843052139470246,,,Active
Eric Huang,2018-11-24 16:10:08,13,,,23843052139550246,12,,
Eric Huang,2018-11-24 16:10:07,13,,,23843052139560246,12,,
Facebook,2018-11-24 16:05:47,,,Active,23842866254190246,,,Inactive
Eric Huang,2018-11-24 16:05:05,,,Active,23843052139470246,,,Inactive
Facebook,2018-11-24 12:30:18,,,Inactive,23842866254190246,,,Active
Eric Huang,2018-11-24 01:56:05,,,Inactive,23843052139470246,,,Active
Eric Huang,2018-11-24 01:50:07,12,,,23843052139560246,13,,
Eric Huang,2018-11-23 23:50:09,12,,,23843052139550246,13,,
Eric Huang,2018-11-23 16:10:07,13,,,23843052139560246,5,,
Facebook,2018-11-23 16:07:26,,,Active,23842866254190246,,,Inactive
Eric Huang,2018-11-23 16:05:03,,,Active,23843052139470246,,,Inactive
Facebook,2018-11-23 14:07:26,,,Inactive,23842866254190246,,,Active
Eric Huang,2018-11-23 05:10:08,13,,,23843052139550246,11,,
Eric Huang,2018-11-23 05:10:08,5,,,23843052139560246,7,,
Eric Huang,2018-11-23 03:00:12,,376,,23843052139550246,,10000,
Eric Huang,2018-11-23 03:00:11,,154,,23843052139560246,,10000,
Eric Huang,2018-11-23 03:00:12,11,,,23843052139550246,10,,
Eric Huang,2018-11-23 03:00:11,7,,,23843052139560246,11,,
Eric Huang,2018-11-23 02:11:04,,,Inactive,23843052139470246,,,Active
Eric Huang,2018-11-22 16:05:03,,,Active,23843052139470246,,,Inactive
Facebook,2018-11-22 16:00:57,,,Active,23842866254190246,,,Inactive
Facebook,2018-11-22 12:17:43,,,Inactive,23842866254190246,,,Active
Eric Huang,2018-11-22 11:10:06,,5184,,23843052139450246,,4448,
Eric Huang,2018-11-22 11:10:05,,4421,,23843052139510246,,3653,
